Rank,Institute Name,City,State,TLR_Score,RPC_Score,GO_Score,OI_Score,PR_Score,Total_Score,Median_Salary_LPA,Placement_Rate,Annual_Fee
1,Indian Institute of Technology Madras,Chennai,Tamil Nadu,95.79,93.10,81.07,65.85,100.00,89.46,TBD,TBD,TBD
2,Indian Institute of Technology Delhi,New Delhi,Delhi,85.71,92.20,84.52,65.39,98.53,86.66,TBD,TBD,TBD
3,Indian Institute of Technology Bombay,Mumbai,Maharashtra,86.34,84.18,84.78,58.67,91.13,83.09,TBD,TBD,TBD
4,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,94.25,74.08,89.05,60.62,84.19,82.79,TBD,TBD,TBD
5,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,78.22,79.28,79.16,57.83,80.26,76.88,TBD,TBD,TBD
6,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,77.72,74.70,87.35,62.20,65.79,76.00,TBD,TBD,TBD
7,Indian Institute of Technology Guwahati,Guwahati,Assam,76.81,68.07,84.48,59.56,55.38,71.86,TBD,TBD,TBD
8,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,88.73,57.50,77.88,55.70,65.31,71.55,TBD,TBD,TBD
9,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,69.69,57.02,78.69,63.12,68.07,66.88,TBD,TBD,TBD
10,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,66.26,60.16,84.78,57.89,60.05,66.69,TBD,TBD,TBD
11,Vellore Institute of Technology,Vellore,Tamil Nadu,65.52,71.94,69.40,61.75,49.28,66.22,TBD,TBD,TBD
12,Jadavpur University,Kolkata,West Bengal,78.24,59.47,76.55,48.89,41.13,65.62,TBD,TBD,TBD
13,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,78.11,68.70,64.60,66.85,17.57,65.41,TBD,TBD,TBD
14,Anna University,Chennai,Tamil Nadu,65.94,71.32,63.43,48.67,65.97,65.34,TBD,TBD,TBD
15,Indian Institute of Technology (Indian School of Mines) Dhanbad,Dhanbad,Jharkhand,73.39,60.91,75.94,59.84,33.72,64.83,TBD,TBD,TBD
16,Indian Institute of Technology Indore,Indore,Madhya Pradesh,79.79,55.21,75.82,60.67,29.90,64.72,TBD,TBD,TBD
17,National Institute of Technology Karnataka Surathkal,Surathkal,Karnataka,74.65,49.04,78.44,62.31,52.37,64.27,TBD,TBD,TBD
18,Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,88.39,42.21,70.33,65.56,36.08,63.42,TBD,TBD,TBD
19,National Institute of Technology Rourkela,Rourkela,Odisha,76.49,57.00,73.24,59.41,27.38,63.38,TBD,TBD,TBD
20,Birla Institute of Technology and Science Pilani,Pilani,Rajasthan,73.19,52.49,79.47,58.14,36.28,63.04,TBD,TBD,TBD
21,National Institute of Technology Warangal,Warangal,Telangana,76.99,48.25,75.28,58.05,32.90,61.72,TBD,TBD,TBD
